Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,"Technical Trainer Manager, Google Cloud",Program Management,"Sunnyvale, CA, United States","Manage a global team of Technical Trainers.
Grow the team to achieve staffing goals while ensuring high training standards are maintained.
Optimize the performance of the Training team by ensuring the team has access to the necessary resources, assets, networks and tools.
Ensure best training practices are shared across the global team.
Work cross-functionally with the Curriculum Development team to ensure an effective feedback loop is in place between instructors and that team. Optimize delivery schedules to ensure alignment with business goals.","7 years of experience in a Technical Training role.
5 years of experience in a management role.
Experience in managing team of Technical Trainers.","Experience with Cloud Infrastructure, Data and/or Machine Learning, with an understanding of Cloud technologies.
Experience working in a global team.
Comfort with working in a fast-growing, dynamic and ambiguous environment.
Effective interpersonal skills, with the ability to work in a cross-functional organization.
Travel internationally as required."
Google,"Partner Sales Engineer, Google Cloud",Technical Solutions,"München, Germany","Work with Partner Managers to identify and recruit partners in the market that can deliver innovative solutions to our customers, built on top of Google Cloud (Google Cloud Platform and G Suite).
Develop our partners’ technical teams with both sales and technical competencies, so that they can be successful in the market.
Keep partners up-to-date with product and technical knowledge and market differentiators.
Work with partner technical representatives in opportunities and projects, complementing their skill and guaranteeing high quality customer deliverables. Advise on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing “best practice” advice to customers and partners to optimize Google Cloud effectiveness.
Act as a technical advocate within Google for our partners in order to help provide feedback from the field, as well as to present on their behalf.","Bachelor's degree in Computer Science or a related technical field or equivalent practical experience.
Experience serving in the capacity of a technical sales engineer in a cloud computing environment, or equivalent experience in a customer and/or partner-facing role (including working as a member of a professional services, solutions architect or systems engineering team).
Ability to speak and write in English and a local language (German, Arabic, Italian, Polish, Romanian) fluently and idiomatically.
Ability to travel up to 40% of the time as required to visit partners across a defined geographic territory.","Experience in, and understanding of, data and information management, especially as it relates to big data trends and issues within businesses. Experience using and/or managing databases.
Experience working with Linux. Experience with software lifecycle and build tools as well as experience architecting and developing software for scalable, distributed systems.
Experience architecting and developing solutions for scalable, distributed systems.
Knowledge of enterprise networking and identity management systems. Knowledge of Big Data, PaaS, SaaS, IaaS, public cloud, and related industry and technical concepts, as well as working knowledge of web application development platforms and related technologies.
Ability to craft a compelling message and tailor it for a given audience. Ability to mix deep technical expertise with simple, everyday language to deliver a story that is memorable and useful.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Cloud technology space."
Google,"Technical Solutions Engineer, Chrome and Android, Google Cloud",Technical Solutions,"Zürich, Switzerland","Obtain and maintain an in-depth understanding of Google's product technology, architecture and implementation. Cultivate and transfer knowledge to Google’s support groups.
Guide or perform design and implementation of new support, productivity or investigation tools in order to increase efficiency for the technical support process.
Act as a consultant and knowledge base for Product Managers, Sales Engineers, Technical Account Managers, and Deployment Specialists, resolving technical deployment obstacles, improving the product's vision and making Google customers successful.
Work closely with multiple Google Product Management and Software Engineering teams on understanding ways to improve the product. Interact with Quality Assurance (QA) teams to drive exceptional testing quality.
Diagnose and resolve complex customer problems for the Google Chrome product area in an engineering support function, as part of a global 24x7 global team.","Bachelor's degree in Computer Science, or a related technical field, or equivalent practical experience.
Experience in technical support, professional services, engineering, sustaining engineering, or systems engineering.
Ability to undergo additional background check clearance to work with Government clients.","Hands-on experience implementing, troubleshooting, and supporting Internet-based applications, web servers, mail servers (e.g. Exchange, Lotus, sendmail, or Postfix), and Linux/Unix operating systems. Experience with Identity Management or Directory Services (e.g. LDAP, AD, etc).
Experience with managing hosted services/SaaS. Familiarity with programming/scripting (i.e. one or more of Java, C, C++, .NET, Python, shell, Perl, JavaScript). Experience with various DBMS, data mining and analysis.
Demonstrated network administration and troubleshooting skills, with an understanding of Linux/Unix system administration. Understanding of Web and Mail-related standards, such as HTTP, HTML, XML, cookie-based SSO, and SMTP.
Demonstrated resourcefulness and attention to detail, with the ability to keep pace with rapid changes in enterprise products.
Effective communication skills, both written and verbal, along with outstanding troubleshooting, follow-through and problem-solving skills."
Google,"Machine Learning Product Specialist, Google Cloud (EMEA)",Technical Solutions,"Berlin, Germany","Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience working with technologies in the Machine Learning/Big Data ecosystem.
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or a related technical technical field.
Experience writing code for Machine Learning purposes. Experience with Big Data and Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Ability to advise customers on how to collect data for a given problem, clean it, visualize it, extract features from it and choose the right type of learning algorithm.
Ability to explain and demystify relevant techniques to those who are new to Machine Learning, with the ability to advise customers on making tradeoffs.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud technology space."
Google,"Head of Partner Engineering, Google Cloud",Technical Solutions,Singapore,"Work with JAPAC Partner and Alliances Lead to develop the Go-to-Market strategy for the region. Build and lead a team of technical Partner Engineers across APAC and Japan.
Identify and recruit partners in the market that can deliver innovative solutions to our customers, built on top of Google Cloud.
Develop Partners’ technical teams advising on their technical business plan and readiness, so that they can be successful in the market. Keep them up to date with latest product and technical knowledge and be an internal technical advocate for them, to help provide feedback from the field.
Engage with technical leadership parterns in large strategic opportunities and projects, complementing their skill and guaranteeing high quality customer deliverables.
Travel up to 40% of the time as required, to visit partners across a defined geographic territory.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
10 years of experience in a technical role.
5 years of experience working within cloud and working with clients across JAPAC in a partner aligned role.","Master's degree in Computer Science or other relevant technical field.
Industry certification(s) from a cloud provider.
Experience in cloud computing with a broad set of skills (infrastructure, storage, networking, platforms, data and security), with knowledge of the cloud market, competitive dynamics and customer buying behavior.
Familiarity in one or more common web or mobile development language such as Java, Python, GO, PHP, Javascript, etc.
Demonstrated leadership in building and leading teams across multiple geographies and speaking at large events covering keynote topics on innovation and technology."
Google,"Presales Manager, New Business Development",Program Management,"New York, NY, United States","Oversee a sales program across office(s), responsible for delivering appointments between prospective new advertisers and New Business Account Executives.
Deliver training programs and execute process to maximize productivity.
Implement and maintain an effective business rhythm.","BA/BS degree or equivalent practical experience.
3 years of experience in a role working towards strategic goals.","Experience in Sales Management and/or Sales Operations, including comfort with metrics, incentives, tools, training and process improvements.
Experience planning, forecasting business goals and leading business reviews.
Ability to navigate and operate across a complex, cross-functional environment."
Google,"Technical Solutions Consultant, Google Technical Services (English, German)",Technical Solutions,"Hamburg, Germany","Work closely with our Sales team to identify, develop, and optimize new business opportunities and develop client relationships by leveraging Google products and technologies. Develop cutting-edge solutions as the technical lead, provide consulting services to our partners, build lasting relationships and be sensitive to client needs.
Help partners in their day-to-day challenges by delivering innovative and scalable solutions and troubleshooting their issues.
Propose, design, create and present prototypes, demos and proofs-of-concept to a wide variety of audiences, from engineers to marketing professionals.
Perform implementation reviews. Advocate for new product features, and provide partner feedback to internal cross-functional teams including Product Management and Engineering.
Travel as required to meet with specific partners/clients internationally.","BA/BS degree in Computer Science or a related technical subject, or equivalent practical experience.
Experience with web technologies such as HTML, CSS, JavaScript and HTTP.
Experience in one or more programming languages, including Java, C++, Python, etc.
Ability to speak and write in English and German fluently and idiomatically.","Experience working with and managing external partners/customers.
Familiarity with SQL/MySQL and Unix/Linux operating systems/commands.
Demonstrated ability to adapt your message to the technical level of the audience and comfort presenting technical materials to groups of any size and background.
Excellent project management skills and attention to detail.
Excellent problem solving, analytical and troubleshooting skills."
Google,"Measurement Solutions Consultant, Google Technical Services",Technical Solutions,"Dublin, Ireland","Guide partners and clients through the entire implementation process.
Consult with stakeholders to define the project structure, requirements and priorities.
Manage customer expectations of product delivery by establishing a trusted relationship and regularly communicating project status and requirements.
Identify potential opportunities for service partner development and education.
Investigate and track client concerns and collaborate to resolve any account issues. Work with other departments within GA360 to actively manage and resolve project-related issues.","Experience managing analytics solutions.
Experience managing client expectations, requirements. Experience in conflict resolution.
Ability to speak and write in English fluently and idiomatically.","Experience using and/or deploying digital analytics and measurement solutions.
Experience with SaaS model.
Experience with data analytics, big data and data warehouses. Experience with the data flow process – ingesting, manipulating and running reports.
Knowledge of data driven attribution, methodology and attribution solutions. Familiarity with digital media (display, paid search, video ads, mobile ads, email marketing, affiliates).
Understanding of database tables. Familiar with SQL and relational databases.
Demonstrated project management skills (setting timelines, milestones, expectations, cross-functional team management, organization and prioritization)."
Google,"Big Data Product Specialist, Google Cloud (English)",Technical Solutions,"Milan, Italy","Work as part of the Sales team to identify and qualify platform opportunities, and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading technical projects, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel as required around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight the Google Cloud Platform value proposition, using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on the integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution, providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science, or a related software engineering field, or equivalent practical experience.
Experience in data, information lifecycle management and Big Data. Experience using and/or managing databases, and with one or all of the following: MapReduce, Hadoop, Spark, Flume, Hive, Impala, Spark SQL and/or BigQuery.
Experience across of cloud computing (infrastructure, storage, platforms and data), as well as the cloud market, competitive dynamics and customer buying behavior.
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or a related technical field.
Experience serving as a Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team). Experience with Big Data, Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Experience in writing code in a common web or mobile development language such as Java, JavaScript, Python, Go and PHP. Experience developing for Android or iOS platforms.
Experience with developing data warehousing, batch or real-time event processing and ETL workflows solutions which could include architecture, implementing, tuning, schema design, and query optimization of scalable and distributed systems.
Working knowledge of Linux, Web 2.0 development platforms, solutions, and related technologies (HTTP, Basic/NTLM, sessions, XML/XSLT/XHTML/HTML). Demonstrated understanding of DNS, TCP, Firewalls, Proxy Servers, Load Balancing, VPN and VPC.
Ability to quickly learn, understand and work with new and emerging technologies, methodologies, and solutions in the cloud/IT technology space."
Google,Technical Contracts Manager,Technical Solutions,"Mountain View, CA, United States","Coordinate and facilitate between internal teams to gain feedback and insight into agreements and initiatives.
Advise business development and technology management teams, as well as legal on risks around technical solutions and service level commitments.
Work with key stakeholders to create, draft and communicate implementation standards to facilitate smoother operations and improve decision making.
Review and approve technical agreement terms.","BA/BS degree in Business, Computer Science or related technology field, or equivalent practical experience.
1-year of experience in process and project management.","MBA, MS, JD or other advanced degree.
2 years of experience working with internet products and technologies.
Experience drafting, reviewing and approving agreements and/or statements of work.
Expertise in analytical and structured problem-solving operations.
Effective leadership, management and collaboration skills in a cross-functional team environment.
Excellent communication skills and attention to detail, with the ability to operate in a fast-paced, dynamic environment."
Google,"High Performance Computing (HPC) Specialist, Google Cloud",Program Management,"London, United Kingdom","Work as part of the Sales team to identify and qualify platform opportunities. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Lead technical projects including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work and the coordination of supporting technical resources.
Work hands-on with Google for Work Cloud Platform products to demonstrate and prototype integrations in customer/partner environments.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
Experience serving in the capacity of a technical sales engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience with high performance computing (HPC), implementing large scale shared file systems such as Gluster, batch scheduling and workload management.","Master's degree in Computer Science or other technical field.
Experience with networking concepts including: routing, VPNs, load balancers, and firewalls.
Experience architecting and developing software or infrastructure for scalable, distributed systems.
Experience in HPC infrastructure, such as message passing interface (MPI), HPC networks (Infiniband, RDMA), container management (Docker, Kubernetes) and GPU programming.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies and solutions in the cloud/IT technology space.
Effective presentation skills, with the ability to deliver a technical pitch."
Google,"Technical Program Manager, Google Cloud Functions",Program Management,"Warszawa, Poland","Align Googlers from multiple organization to deliver outstanding product and program outcomes.
Drive the planning and execution of the software development programs, working closely with engineers, product managers, site reliability engineers, and other key stakeholders. Establish goals, schedule and milestones. Proactively manage dependencies and anticipate/resolve execution issues.
Be the trusted owner of the status of your releases and programs.
Drive visibility on progress/dependencies/risks/issues to executives and other stakeholders.
Build strong partnerships across Google and leverage your credibility and technical acumen to drive process improvements and efficiencies that lead to better quality and increased velocity/productivity.","BS degree in a technical discipline (e.g. Computer Science/Electrical Engineering) or equivalent practical experience.
Experience in program management of software development or technical cloud operation programs.
Experience in tightly partnering with Development managers and Product Managers to facilitate the roadmap prioritization and development and delivery of products.","Master's degree in a technical discipline (e.g. Computer Science/Electrical Engineering) or MBA.
Experience with Cloud platforms and technologies
Proven project management or technical management experience leading large-scale, aggressive, and dynamic technical projects
Strong technical acumen. Ability to quickly learn and understand the technical context of programs you drive and to contribute to technical discussions that affect your programs
Solid knowledge of software development best practices. Self driven, excellent interpersonal, communication, and cross-functional leadership skills.
Ability to interact with diverse technical and non-technical audiences, spanning all organizational levels. Solid ability to focus on the short-term priorities while retaining your strategic thinking and your longer-term foresight"
Google,"Solutions Architect, Healthcare and Life Sciences, Google Cloud",Technical Solutions,"Sunnyvale, CA, United States","Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities.","BA/BS degree in Computer Science, related Software Engineering field or equivalent practical experience.
Experience working in a cloud computing environment (infrastructure, storage, platforms and/or data).
Experience working in a healthcare and/or life science domain, including deploying solutions in healthcare and/or life sciences related IT infrastructure.
Experience in writing software in one or more languages such as Java, Python, Go, JavaScript, C++, or similar.","Master's degree in Computer Science, related Engineering field, or equivalent work experience.
5 years of experience working with a variety of technology systems, designing solutions or developing applications in healthcare and/or life science environments.
Experience working closely with Sales and Marketing teams in cloud computing or related technical fields.
Understanding of current trends of healthcare and/or life sciences infrastructure, (including databases, enterprise integration buses, protocols, APIs and formats), security, networking and cloud-based delivery models.
Ability to communicate complex technical concepts in an approachable way for broad audiences, empowering them with memorable and useful information."
Google,"Program Manager, Operations, Google Cloud Web",Program Management,"Sunnyvale, CA, United States","Provide Program Management support to Google Cloud Online Experience projects.
Provide operational support for Online Operations including recruiting and space planning.
Implement consistent reporting and tracking across Product teams, and track upcoming product launches and milestones .
Partner in the development and roll out of communication and on-boarding programs.
Support budget planning and ongoing tracking.","4 years of experience in Program Management working with Design teams.
Experience creating, coordinating and implementing programs and operations in large, complex organizations.","Demonstrated Project Management skills, with the ability to manage complex operational initiatives.
Demonstrated ability to multitask, analyze opportunities, define effective approaches, and proactively overcome challenges.
Ability to operate in an environment of ambiguity and create order, with a motivated approach."
